Наименование предмета,Автор,Музей,Идентификатор музея,КОПУК музея,ИНН музея,Items,Дата создания предмета (строка),Место создания,Items,Место находки,Строковое описание размеров,Описание,Количество составляющих,Изображение,Регистрационный номер Госкаталога,Дата регистрации записи.,Инвентарный номер,Номер по ГИК,Внутренний идентификатор,Собственник,Тип предмета,Вес,Единица измерения веса,Ширина,Высота,Длина,Единица измерения размера,Идентификатор эпохи создания предмета,Эпоха создания предмета,Время эпохи,Название эпохи,Интервал времени создания предмета (начало),Интервал времени создания предмета (окончание),"Точность задания времени (день, месяц, год, век, эпоха).",URL предмета на сайте музея,Ключевые слова,Краткое описание истории бытования (провенанс) предмета,Идентификатор статуса предмета,Типология,Идентификатор типологии,Типология (строковое описание).,Причина исключения,Основание для регистрации предмета,Бюджет,Часть музейного фонда,Порядок управления,Предмет в музейной системе,Музейная система
Зуб слона Громова (Archidiskodom meridionalis Garutt et Alexeeva). Фоссилизация полная. Найден впервые и описан в Хапрах Гаруттом и Алексеевой. Обнаружен в песчаном карьере с.Сабля Александровского района в 1958 г. Безручкиным П.И.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1958 г.,,,,"дл - 20 см, выс - 9 см,",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/31342970""}]",27416167,2021-02-04T07:20:08.609Z,,СГМЗ ОФ 19978,27565796,,,,,,,,,,,,,1958-01-01T12:00:00.000Z,,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Зуб ископаемого южного слона Archidiskodom meridionalis Nesti.Талон и передние пластины разрушены. Минерализация полная. Обнаружен в песчаном карьере г. Пятигорска в 1970 г.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1970 г.,,,,"дл. 153 мм, шир 83,6 мм",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/31342975""}]",27416165,2021-02-04T07:20:08.609Z,,СГМЗ ОФ 25667,27565804,,,,,,,,,,,,,1970-01-01T12:00:00.000Z,,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
"Фрагмент верхнекоренного зуба ископаемого слона рода Аrснidisnоdоn, состоит из восьми полных пластин и переднего талона (недоразвитая пластина). Найден в районе ст. Преградной.",,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,2-я пол.20 в.,,,,"13 x 8,3 x 18 x 2 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/31342978""}]",27416163,2021-02-04T07:20:08.609Z,,СГМЗ ОФ 27358,27565814,,,,,,,,,,,,,1951-01-01T12:00:00.000Z,2000-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
"Зуб ископаемого слона, найден трактористом Схоменко П.Ф. в песчаном карьере с.Золоторевка Ипатовского р-на 12.09.69 г.",,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1969 г.,,,,"13,5x9,8 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/31342980""}]",27416162,2021-02-04T07:20:08.609Z,,СГМЗ ОФ 15640,27565817,,,,,,,,,,,,,1969-01-01T12:00:00.000Z,,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Бивень южного слона. Обнаружен близ хутора Золотаревского Ипатовского района в песчаном карьере.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,2-я пол.20 в.,,,,"114x15,5 см",Состоит из двух кусков.,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/31342982""}]",27416161,2021-02-04T07:20:08.609Z,,СГМЗ ОФ 14972,27565821,,,,,,,,,,,,,1951-01-01T12:00:00.000Z,2000-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Слон южный. Обломки голени и ребра. Плиоцен.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,"1) 71х17,5 см 2) 32,x9,3 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/33382913""}]",28855643,2021-04-20T05:29:30.678Z,,СГМЗ ОФ 7766,29019156,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Слон южный. Левая нижняя челюсть. Нижне-четверт. пер.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1951 г.,,,,"56x15,6 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/33382914""}]",28855642,2021-04-20T05:29:30.678Z,,СГМЗ ОФ 7765,29019157,,,,,,,,,,,,,1951-01-01T12:00:00.000Z,,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Archidiskodon meridionalis. Зуб южного слона.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,14x10 см,,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/33382915""}]",28855641,2021-04-20T05:29:30.678Z,,СГМЗ ОФ 7245,29019158,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Обломок берцовой кости южного слона.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,"74x13,5 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/33382939""}]",28855648,2021-04-20T05:31:57.250Z,,СГМЗ ОФ 7913,29019175,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Головка бедра южного слона.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,"13,9x25,5 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/33382941""}]",28855647,2021-04-20T05:31:57.250Z,,СГМЗ ОФ 7908,29019176,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Локтевой сустав передней ноги ископаемого южного слона.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,32х18 см,,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/33382942""}]",28855646,2021-04-20T05:31:57.250Z,,СГМЗ ОФ 7919,29019177,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Слон ископаемый. Головка бедренной кости.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,"25,6х14,7 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/33382944""}]",28855645,2021-04-20T05:31:57.250Z,,СГМЗ ОФ 7916,29019180,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
"Обломок бивня слонообразного животного, найден в гравии Саблинского карьера Александровского р-на - подарен музею Петренко М.И.",,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,2-я пол.20 в.,,,,"10,5х7х6,8 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/33383004""}]",28855722,2021-04-20T05:36:34.479Z,,СГМЗ ОФ 14966,29019231,,,,,,,,,,,,,1951-01-01T12:00:00.000Z,2000-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Позвонки ископаемого слонообразного. Неоген.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,"7,8х13,6 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/33383005""}]",28855721,2021-04-20T05:36:34.479Z,,СГМЗ ОФ 8745/1,29019233,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Фрагмент кости ископаемого слонообразного.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,"17,9х13,3 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/33383008""}]",28855719,2021-04-20T05:36:34.479Z,,СГМЗ ОФ 8751/3,29019235,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
